                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1605,                 4.0998,                 1.3776,                0.12213,                0.18182,                0.03913,                0.03766,                0.82339,                 3.9685,                 1.1429,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.1114,                  2.625,                 1.2506,                0.64067,                0.81095,                0.64021,                0.57378,                0.73591,                 2.2119,                 1.1212,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 1.0323,                  1.807,                 1.1742,                 0.8128,                0.63636,                0.72291,                0.59382,                0.77905,                 2.2044,                 1.1117,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                0.99812,                 1.5006,                 1.1093,                 0.6513,                0.81818,                0.66906,                0.57577,                0.76282,                 1.8196,                 1.0746,             0.00013584,             0.00013584,             0.00013584
                      5,                 1.0562,                 1.1161,                 1.2247,                0.97162,                0.81818,                0.86809,                0.67676,                0.86561,                 1.4072,                 1.0859,             0.00017287,             0.00017287,             0.00017287
                      6,                 0.8347,                0.97385,                   1.07,                0.71048,                0.81818,                0.82456,                0.68513,                0.78842,                 1.7862,                 1.0112,             0.00020911,             0.00020911,             0.00020911
                      7,                0.92973,                 1.1222,                 1.1237,                0.82449,                0.85603,                0.86205,                0.59322,                0.87983,                  1.752,                 1.0626,             0.00024456,             0.00024456,             0.00024456
                      8,                0.97489,                 1.4394,                 1.2619,                0.79645,                0.71277,                0.79388,                0.56465,                   1.17,                 1.6447,                 1.2565,             0.00027921,             0.00027921,             0.00027921
                      9,                0.80583,                0.95923,                 1.0686,                0.52405,                0.81818,                 0.7818,                0.56315,                 1.1381,                 3.1254,                 1.3188,             0.00031307,             0.00031307,             0.00031307
                     10,                0.98796,                 1.0518,                 1.1663,                0.38629,                0.63636,                0.51234,                0.36783,                 1.0597,                 4.5034,                 1.2313,             0.00034614,             0.00034614,             0.00034614
                     11,                0.89295,                 1.0478,                 1.0691,                0.89827,                0.27273,                0.29521,                0.25827,                 1.1641,                  5.331,                 1.3632,             0.00037842,             0.00037842,             0.00037842
                     12,                 1.0387,                 1.0049,                 1.1418,                0.64906,                0.27273,                0.29294,                0.22281,                 1.3225,                 6.9991,                   1.51,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.0178,                0.97382,                 1.1355,                0.03437,                0.36364,                0.29174,                0.22038,                 1.2491,                  10.06,                  1.376,              0.0004406,              0.0004406,              0.0004406
                     14,                0.95204,                0.80382,                 1.0822,                0.97808,                0.54545,                0.55002,                 0.3633,                 1.3102,                 3.2496,                 1.3495,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.2322,                 1.1543,                 1.2932,                0.68463,                0.45455,                0.51467,                0.34606,                 1.4427,                 2.9943,                 1.3563,             0.00049961,             0.00049961,             0.00049961
                     16,                 1.0325,                 1.0029,                 1.1085,                0.45959,                0.72727,                0.50489,                0.25494,                 1.3594,                 5.5781,                  1.438,             0.00052793,             0.00052793,             0.00052793
                     17,                 1.0938,                 1.1973,                 1.2042,                0.98464,                0.63636,                0.68476,                 0.3809,                 1.6003,                  2.008,                 1.6333,             0.00055546,             0.00055546,             0.00055546
                     18,                0.96657,                 1.0861,                 1.0527,                0.93644,                0.45455,                0.51034,                0.31584,                 1.8598,                 2.3623,                 1.9047,             0.00058219,             0.00058219,             0.00058219
                     19,                 1.0471,                 1.1825,                 1.1689,                0.02716,                0.18182,                 0.1154,                 0.0193,                 1.8158,                  27.87,                 2.8277,             0.00060813,             0.00060813,             0.00060813
                     20,                  1.057,                 1.0723,                 1.2571,                0.01497,                0.63636,                 0.0122,                0.00585,                 1.8002,                 104.81,                 2.3218,             0.00063328,             0.00063328,             0.00063328
                     21,                0.91514,                0.94895,                 1.0895,                0.09015,                0.27273,                0.05033,                 0.0254,                 2.2062,                 11.221,                 2.3297,             0.00065764,             0.00065764,             0.00065764
                     22,                 1.1714,                   1.11,                 1.2205,                0.07092,                0.18182,                0.11709,                0.05569,                 2.4389,                 15.948,                  2.701,             0.00068121,             0.00068121,             0.00068121
                     23,                 1.1239,                 1.1159,                 1.2413,                0.07973,                0.36364,                 0.0459,                 0.0236,                 2.5026,                 8.9173,                 2.9138,             0.00070398,             0.00070398,             0.00070398
                     24,                 1.1321,                 1.1109,                 1.2479,                0.06674,                0.45455,                0.04581,                0.02597,                 2.0634,                 10.803,                 3.0553,             0.00072596,             0.00072596,             0.00072596
                     25,                 1.1303,                 1.1756,                 1.1465,                0.10811,                0.81818,                0.08947,                0.05042,                 1.6552,                 15.445,                 2.1456,             0.00074715,             0.00074715,             0.00074715
                     26,                 1.0459,                 1.2278,                 1.1558,                0.21152,                0.45455,                0.14225,                0.07071,                 1.5398,                  6.606,                 1.9387,             0.00076755,             0.00076755,             0.00076755
                     27,                 1.1462,                 1.2348,                 1.2593,                0.11192,                0.54545,                0.08665,                0.04706,                 1.5662,                 7.9652,                  1.777,             0.00078716,             0.00078716,             0.00078716
                     28,                 1.3435,                 1.5208,                 1.4663,                0.11192,                0.54545,                0.08665,                0.04706,                 1.5662,                 7.9652,                  1.777,             0.00080597,             0.00080597,             0.00080597
                     29,                 1.1423,                 1.0906,                   1.26,                0.10614,                0.45455,                0.07101,                0.03917,                 1.6862,                  10.32,                 1.8787,             0.00082399,             0.00082399,             0.00082399
                     30,                 1.1324,                 1.1806,                 1.1766,                0.13405,                0.45455,                0.08196,                0.04695,                 1.8755,                  9.189,                 2.6793,             0.00084122,             0.00084122,             0.00084122
                     31,                 1.0596,                0.91549,                 1.1206,                0.13405,                0.45455,                0.08196,                0.04695,                 1.8755,                  9.189,                 2.6793,             0.00085766,             0.00085766,             0.00085766
                     32,                 1.1422,                 1.0846,                 1.2553,                0.01491,                0.45455,                0.01342,                0.00647,                 1.9093,                 118.46,                  2.771,             0.00087331,             0.00087331,             0.00087331
                     33,                    1.2,                 1.0883,                 1.2226,                0.01083,                0.63636,                0.00971,                0.00429,                 2.0179,                 397.58,                 7.4219,             0.00088816,             0.00088816,             0.00088816
                     34,                 1.0406,                 1.0751,                 1.1968,                0.01083,                0.63636,                0.00971,                0.00429,                 2.0179,                 397.58,                 7.4219,             0.00090222,             0.00090222,             0.00090222
                     35,                 1.3114,                 1.3399,                 1.3764,                0.00372,                0.45455,                0.00413,                0.00144,                 2.6715,                 1669.5,                 21.165,             0.00091549,             0.00091549,             0.00091549
                     36,                 1.2018,                 1.1125,                 1.2576,                0.00372,                0.45455,                0.00413,                0.00144,                 3.0457,                 6492.8,                 20.572,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.2103,                 1.0804,                 1.3022,                0.00372,                0.45455,                0.00413,                0.00144,                 3.0457,                 6492.8,                 20.572,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.1244,                 1.0999,                 1.2368,                 0.0003,                0.09091,                0.00022,                  2e-05,                 5.0064,                  38990,                 134.02,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.1746,                0.99892,                 1.1827,                 0.0003,                0.09091,                0.00022,                  2e-05,                 4.6511,                  14047,                 33.339,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.1173,                 1.0895,                 1.2153,                 0.0003,                0.09091,                0.00022,                  2e-05,                 4.6511,                  14047,                 33.339,             0.00096996,             0.00096996,             0.00096996
                     41,                 1.1129,                 1.0665,                 1.1963,                 0.0003,                0.09091,                0.00022,                  2e-05,                 4.0713,                   9034,                 31.805,             0.00097848,             0.00097848,             0.00097848
                     42,                  1.035,                 0.9714,                 1.1179,                 0.0003,                0.09091,                0.00022,                  2e-05,                  3.152,                  24731,                 27.588,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.0802,                0.93231,                 1.1673,                 0.0003,                0.09091,                0.00022,                  2e-05,                  3.152,                  24731,                 27.588,             0.00099314,             0.00099314,             0.00099314
                     44,                  1.143,                0.96716,                 1.2492,                 0.0003,                0.09091,                0.00022,                  2e-05,                 3.5437,                  21066,                 21.916,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.1225,                0.92201,                 1.1456,                 0.0003,                0.09091,                0.00022,                  2e-05,                 3.5437,                  21066,                 21.916,              0.0010046,              0.0010046,              0.0010046
                     46,                 1.0261,                0.91144,                 1.1594,                0.00091,                0.27273,                 0.0006,                 0.0001,                  4.144,                  20460,                 10.924,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.0157,                0.91871,                 1.1436,                0.00091,                0.27273,                 0.0006,                 0.0001,                  4.144,                  20460,                 10.924,               0.001013,               0.001013,               0.001013
                     48,                 1.1508,                0.99714,                 1.2326,                 0.0003,                0.09091,                0.00019,                  2e-05,                 3.6984,                  18710,                 6.8484,              0.0010159,              0.0010159,              0.0010159
                     49,                 1.0772,                 1.0595,                 1.2422,                 0.0003,                0.09091,                0.00019,                  2e-05,                 3.6984,                  18710,                 6.8484,              0.0010181,              0.0010181,              0.0010181
                     50,                 1.0084,                0.96472,                 1.2026,                 0.0003,                0.09091,                0.00019,                  2e-05,                 3.8636,                  12827,                 5.5401,              0.0010195,              0.0010195,              0.0010195
