                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6576,                 5.2721,                 2.3519,                      0,                      0,                      0,                      0,                 2.3386,                 4.0739,                 1.4098,                      0,                      0,                      0
                      2,                 4.1085,                 5.4094,                 2.3544,                      0,                      0,                      0,                      0,                 2.2634,                 4.0823,                 1.3887,             1.9208e-05,             1.9208e-05,             1.9208e-05
                      3,                 3.1234,                 4.7165,                 1.6451,                      0,                      0,                      0,                      0,                 2.2252,                 4.1113,                 1.3674,             3.6832e-05,             3.6832e-05,             3.6832e-05
                      4,                 3.9453,                 4.7198,                 2.2352,                      0,                      0,                      0,                      0,                 2.3241,                 4.0623,                  1.382,             5.2872e-05,             5.2872e-05,             5.2872e-05
                      5,                 3.9478,                 5.3945,                 1.9976,                      0,                      0,                      0,                      0,                 2.2756,                 4.0682,                 1.3537,             6.7328e-05,             6.7328e-05,             6.7328e-05
                      6,                 3.5191,                 4.8192,                 1.7567,                      0,                      0,                      0,                      0,                  2.267,                 4.0624,                 1.3394,               8.02e-05,               8.02e-05,               8.02e-05
                      7,                 2.9194,                 4.5417,                 1.2395,                      0,                      0,                      0,                      0,                 2.4493,                 4.0166,                 1.3861,             9.1488e-05,             9.1488e-05,             9.1488e-05
                      8,                  2.894,                 4.4889,                 1.2445,                      0,                      0,                      0,                      0,                 2.3178,                 4.0006,                 1.3423,             0.00010119,             0.00010119,             0.00010119
                      9,                 2.3983,                 4.0861,                 1.3275,                      0,                      0,                      0,                      0,                 2.0643,                 3.9941,                  1.269,             0.00010931,             0.00010931,             0.00010931
                     10,                 2.6058,                 3.9727,                 1.2602,                      0,                      0,                      0,                      0,                 2.0382,                 3.9757,                 1.2371,             0.00011585,             0.00011585,             0.00011585
                     11,                 2.5697,                 3.7685,                 1.2338,                      0,                      0,                      0,                      0,                 1.9545,                 3.9339,                 1.1872,              0.0001208,              0.0001208,              0.0001208
                     12,                 2.0563,                 4.0589,                 1.1823,                0.00246,                0.33333,                0.00164,                0.00082,                 1.8015,                 3.9095,                 1.1449,             0.00012417,             0.00012417,             0.00012417
                     13,                 2.0783,                 3.6939,                 1.1255,                0.00239,                0.33333,                 0.0016,                0.00096,                 1.6256,                 3.8943,                 1.1241,             0.00012595,             0.00012595,             0.00012595
                     14,                 1.9836,                 3.6189,                 1.0958,                0.00242,                0.33333,                0.00162,                0.00097,                 1.5473,                 3.8594,                 1.1113,             0.00012615,             0.00012615,             0.00012615
                     15,                 1.8021,                 3.2126,                  1.045,                0.00244,                0.33333,                0.00163,                0.00114,                  1.504,                 3.8142,                  1.078,             0.00012477,             0.00012477,             0.00012477
                     16,                 1.6753,                 2.9929,                   1.02,                0.00482,                0.66667,                0.00405,                0.00178,                 1.5035,                 3.7821,                 1.0772,              0.0001218,              0.0001218,              0.0001218
                     17,                 1.8966,                 2.8905,                 1.0366,                0.00481,                0.66667,                0.00405,                0.00202,                 1.4979,                 3.7458,                 1.0706,             0.00011725,             0.00011725,             0.00011725
                     18,                 1.5912,                 2.7325,                0.95945,                0.00481,                0.66667,                0.00405,                0.00202,                 1.4979,                 3.7458,                 1.0706,             0.00011111,             0.00011111,             0.00011111
                     19,                 1.7584,                 2.7545,                 1.2105,                0.00723,                      1,                0.00723,                0.00354,                 1.5236,                 3.7021,                 1.0633,             0.00010339,             0.00010339,             0.00010339
                     20,                 1.6504,                 2.6427,                  0.946,                0.00723,                      1,                0.00723,                0.00354,                 1.5236,                 3.7021,                 1.0633,             9.4088e-05,             9.4088e-05,             9.4088e-05
                     21,                 1.0827,                 2.4009,                0.78143,                0.00733,                      1,                0.00743,                0.00421,                 1.5569,                 3.6732,                  1.068,               8.32e-05,               8.32e-05,               8.32e-05
                     22,                  1.751,                 2.4367,                0.97201,                0.00733,                      1,                0.00743,                0.00421,                 1.5569,                 3.6732,                  1.068,             7.0728e-05,             7.0728e-05,             7.0728e-05
                     23,                 2.1523,                  2.234,                 1.1629,                0.00723,                      1,                0.00743,                0.00482,                 1.5316,                 3.6444,                 1.0599,             5.6672e-05,             5.6672e-05,             5.6672e-05
                     24,                  1.504,                 2.3405,                0.94694,                0.00723,                      1,                0.00743,                0.00482,                 1.5316,                 3.6444,                 1.0599,             4.1032e-05,             4.1032e-05,             4.1032e-05
                     25,                 2.2595,                 2.2439,                 1.1245,                0.00706,                      1,                0.00748,                0.00486,                 1.5226,                 3.6301,                 1.0577,             2.3808e-05,             2.3808e-05,             2.3808e-05
